animeTitle	Zetsubou no Kaibutsu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14701
animeDescription	"A story about fourteen-year-old alien girl Aoi Hoshino. Her family uses certain medicine to disguise themselves as humans.
For some reason the medicine slowly stops working, but only on Aoi...

(Source: Official Website, edited)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
