animeTitle	b'Dr. Rin ni Kiitemite!'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.76
animeUsers	788
animeRank	
animePopularity	
animeDescription	b'Kanzaki Meirin, a junior high school student, posseses fusui power which can drive away evil spirits away whenever they appeared. She is in fact, the fortune teller Dr. Rin. She is in love with her best friend, soccer club member, Yuuki Asuka. However, Yuuki does not like fortune-telling and superstitious things.\n\n(Source: ANN)'
animeRelated	[b'Dr. Rin ni Kiitemite!']
animeCharacters	[b'Kanzaki, Meirin', b'Yuuki, Asuka']
animeVoices	[b'\nChiba, Saeko\nJapanese\n', b'\nHonda, Chieko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMisawa, Shin\n\nDirector\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nYamamoto, Yuusuke\n\nEpisode Director, Storyboard\n\n', b'\nMoriwaki, Makoto\n\nEpisode Director, Storyboard\n\n']
