animeTitle	Kanon (2006)
animeType	TV
animeNumEpisode	24
releaseDate	2006-10-06 00:00:00
endDate	2007-03-16 00:00:00
animeNumMembers	
animeScore	7.98
animeUsers	123678
animeRank	
animePopularity	718
animeDescription	"As a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of those days are simply gone.

Settling into the wintry town, Yuuichi comes across several young girls, all of whom are connected to his past. As he befriends them and continues to interact with them, the long forgotten memories from his childhood begin to resurface...

[Written by MAL Rewrite]"
animeRelated	['Kanon']
animeCharacters	['Tsukimiya, Ayu', 'Kawasumi, Mai', 'Sawatari, Makoto', 'Aizawa, Yuuichi', 'Minase, Nayuki', 'Misaka, Shiori', 'Kurata, Sayuri', 'Minase, Akiko', 'Piro', 'Misaka, Kaori']
animeVoices	['Horie, Yui', 'Tamura, Yukari', 'Iizuka, Mayumi', 'Sugita, Tomokazu', 'Kouda, Mariko', 'Sato, Akemi', 'Kawakami, Tomoko', 'Minaguchi, Yuko', 'Kawasumi, Ayako']
animeStaff	[['Hatta, Youko', 'Producer'], ['Nakamura, Shinichi', 'Producer'], ['Ishihara, Tatsuya', 'Director, Episode Director, Storyboard'], ['Tsuruoka, Youta', 'Sound Director']]
