animeTitle	b'Osiris no Tenbin'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	107
animeRank	
animePopularity	
animeDescription	b'The protagonist is a mysterious assassin. In order to decide whether or not to carry out requests for assassination, he meets his targets to make a final judgment.\n\n(Source: Official website)'
animeRelated	[b'Osiris no Tenbin: Season 2']
animeCharacters	[b'Assassin']
animeVoices	[b'\nKaji, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujikawa, Yuusuke\n\nProducer, Director, Storyboard\n\n', b'\nKasai, Takeo\n\nScript\n\n', b'\nSuehiro, Kenichiro\n\nMusic\n\n']
