animeTitle	b'Hachi-nan tte, Sore wa Nai deshou!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.22
animeUsers	88176
animeRank	
animePopularity	
animeDescription	b'Waking up in a new world, 25-year-old Shingo Ichinomiya realizes that he is in the body of a six-year-old. Retaining memories of his stressful life working at a firm company, Shingo learns that the person he is occupying is Wendelin Von Benno Baumeister, the eighth son of a poor noble family living in the countryside. Awoken to his bizarre situation, Wendelin strives to change his financial and social status for the better. His newly discovered great magical aptitude may prove to be just what he needs to achieve that goal.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Hachi-nan tte, Sore wa Nai deshou!']
animeCharacters	[b'Hohenheim, Elise', b'Ichinomiya, Shingo', b'Hillenbrand, Ena Susanne', b'Yorande Aorelia Oufelbeik, Louise', b'von Asgahan, Wilma Etol', b'Reinford, Alfred', b'Amalie', b'von Arnim, Elvin', b'Kurt', b'Ringstat, Blanctag']
animeVoices	[b'\nNishi, Asuka\nJapanese\n', b'\nEnoki, Junya\nJapanese\n', b'\nKomatsu, Mikako\nJapanese\n', b'\nMimura, Yuuna\nJapanese\n', b'\nIchimichi, Mao\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nYukana\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nSugita, Tomokazu\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyamoto, Takeshi\n\nScript, Series Composition\n\n', b'\nALI PROJECT\n\nTheme Song Performance, Theme Song Lyrics\n\n', b'\nArai, Akino\n\nTheme Song Performance\n\n', b'\nAKINO\n\nTheme Song Performance\n\n']
