animeTitle	b'Shin Obake no Q-tarou'
animeType	b'TV'
animeNumEpisode	70
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'New misadventures of the dimwitted ghost Q-Tarou. \n\n(Source: AniDB)'
animeRelated	[b'Obake no Q-tarou', b'Obake no Q-tarou (1985)']
animeCharacters	[b'Q-Tarou', b'U-ko', b'O-Jirou', b'P-ko']
animeVoices	[b'\nMita, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNagahama, Tadao\n\nEpisode Director, Script\n\n', b'\nKaneko, Yutaka\n\nScript\n\n', b'\nHirata, Toshio\n\nStoryboard\n\n', b'\nKondou, Eisuke\n\nStoryboard\n\n']
