animeTitle	b'Durarara!! Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.88
animeUsers	87886
animeRank	
animePopularity	
animeDescription	"b""Celty Sturluson is tasked to deliver a suspicious red handbag as part of her courier duties\xe2\x80\x94the problem is: it is being sought by several organizations. As she makes her way through Ikebukuro toward the place the bag is supposed to be brought to, she is chased by mysterious men speaking a foreign language, and her package ends up dragging many of the city's residents into the conflict.\n\nSubsequently, famous actor Yuuhei Hanejima has just arrived in Ikebukuro as part of a special TV program, searching for the best couple to give them a chance to appear in one of his movies. However, Yuuhei Hanejima is actually a stage name for Kasuka Heiwajima, Shizuo's younger brother, and when an anonymous internet user threatens to kill the superstar, this user learns the weight of what that relationship means. Moreover, Shizuo discovers that the one responsible for the attempted attack is the meddlesome pest that he loathes with a burning passion.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Durarara!!']
animeCharacters	[b'Orihara, Izaya', b'Heiwajima, Shizuo', b'Sturluson, Celty', b'Ryuugamine, Mikado', b'Sonohara, Anri', b'Dian, Isaac', b'Harvent, Miria', b'Kida, Masaomi', b'Kishitani, Shinra', b'Brezhnev, Semyon']
animeVoices	[b'\nKamiya, Hiroshi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nAoki, Sayaka\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nMatsushita, Yuya\n\nTheme Song Performance\n\n', b""\nROOKiEZ is PUNK'D\n\nTheme Song Composition, Theme Song Arrangement, Theme Song Lyrics, Theme Song Performance\n\n"", b'\nON/OFF\n\nTheme Song Performance\n\n', b'\nTheatre Brook\n\nTheme Song Performance\n\n']"
