animeTitle	Gakusen Toshi Asterisk 2nd Season
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.04
animeUsers	212048
animeRank	
animePopularity	452
animeDescription	"Gakusen Toshi Asterisk 2nd Season continues the story of Genestella students Ayato Amagiri and Julis-Alexia von Riessfeld, who have progressed to the next round of the Phoenix Festa after a long and strenuous battle with sisters Irene and Priscilla Urzaiz.

Despite Julis and Ayato's best attempts, the fact that Ayato's powers have been sealed is no longer a secret. Now at a major disadvantage, the duo must come up with a plan if they are to have any hope of winning the Phoenix Festa. Only one thing is for sure: the troubles heading their way are only going to get more insurmountable from here on.

[Written by MAL Rewrite]"
animeRelated	['Gakusen Toshi Asterisk']
animeCharacters	['Toudou, Kirin', 'von Riessfeld, Julis-Alexia', 'Sasamiya, Saya', 'Amagiri, Ayato', 'Enfield, Claudia', 'Lyyneheym, Sylvia', 'Kühne, Ernesta', 'Urzaiz, Irene', 'Yabuki, Eishirou', 'Amagiri, Haruka']
animeVoices	['Ozawa, Ari', 'Kakuma, Ai', 'Izawa, Shiori', 'Tamaru, Atsushi', 'Touyama, Nao', 'Chisuga, Haruka', 'Akasaki, Chinatsu', 'Uchiyama, Yumi', 'Uchida, Yuuma', 'Nakahara, Mai']
animeStaff	[['Ono, Manabu', 'Director'], ['Setou, Kenji', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Tokuda, Hirotaka', 'Episode Director, Animation Director']]
