animeTitle	b'Blue Lock'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""After reflecting on the current state of Japanese soccer, the Japanese Football Association decides to hire the enigmatic and eccentric coach Jinpachi Ego to achieve their dream of winning the World Cup. Believing that Japan has lacked an egoistic striker hungry for goals, Jinpachi initiates the Blue Lock\xe2\x80\x94a prison-like facility where three hundred talented strikers from high schools all over Japan are isolated and pitted against each other. The sole survivor of Blue Lock will earn the right to become the national team's striker, and those who are defeated shall be banned from joining the team forever.\n\nSelected to join this risky project is Yoichi Isagi, a striker who failed to bring his high school soccer team to the national tournament. After choosing to pass to a teammate who missed instead of scoring on his own, he could not help but wonder if the results would have been different had he been more selfish. Using this golden opportunity given by the Blue Lock Project, Yoichi aims to clear his doubts and chase his ultimate desire\xe2\x80\x94to become the greatest striker in the world and lead Japan to World Cup glory.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Blue Lock']
animeCharacters	[b'Bachira, Meguru', b'Isagi, Yoichi', b'Chigiri, Hyouma', b'Kunigami, Rensuke']
animeVoices	[b'\nKaito, Tasuku\nJapanese\n', b'\nUra, Kazuki\nJapanese\n', b'\nSaitou, Souma\nJapanese\n', b'\nOno, Yuuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Tetsuaki\n\nDirector\n\n', b'\nGou, Fumiyuki\n\nSound Director\n\n', b'\nKishimoto, Taku\n\nScript, Series Composition\n\n', b'\nKaneshiro, Muneyuki\n\nOriginal Creator\n\n']
