animeTitle	Himesama Goyoujin
animeType	TV
animeNumEpisode	12
releaseDate	2006-04-13 00:00:00
endDate	2006-07-20 00:00:00
animeNumMembers	2349
animeScore	6.33
animeUsers	758
animeRank	7043
animePopularity	9000
animeDescription	"Himeko is supposed to be a common high school student... until she happens to obtain a crown and she becomes a princess. Since then, Nana, the true princess, follows her around to take the crown back. In addition, Leslie and Caren, the thieves, appear to rob her of the crown, and her peaceful life turns into turmoil.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Tsubaki, Himeko', 'Nana', 'Misuzu, Aoi', 'Miss Yoko', 'Tsubaki, Sanjuurou', 'Tsubaki, Ebine', 'Kode, Mari', 'Yimo', 'Adron', 'Chief X']
animeVoices	['Shintani, Ryouko', 'Miyazaki, Ui', 'Yoshizumi, Kozue', 'Kaida, Yuuko', 'Tsuji, Shinpachi', 'Amano, Yuri', 'Shiratori, Yuri', 'Kanai, Mika', 'Toriumi, Kousuke', 'Wakamoto, Norio']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Takayanagi, Shigehito', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Sugihara, Kenji', 'Script']]
