animeTitle	b'Bikini Warriors OVA'
animeType	b'OVA'
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	5.54
animeUsers	5774
animeRank	
animePopularity	
animeDescription	b'New OVAs slated for release in Fall 2016. The OVAs will include two new characters, Cleric and Kunoichi.\n\n(Source: MAL News)'
animeRelated	[b'Bikini Warriors Special']
animeCharacters	[b'Mage', b'Paladin', b'Fighter', b'Dark Elf', b'Hunter', b'Valkyrie', b'Cleric', b'Necromancer', b'Black Knight', b'Kunoichi']
animeVoices	[b'\nKakuma, Ai\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n', b'\nNumakura, Manami\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nTanaka, Aimi\nJapanese\n', b'\nFujita, Akane\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nHara, Yumi\nJapanese\n']
animeStaff	[]
