animeTitle	Panpaka Pants O-New!
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14278
animeDescription	Follows a pig whose family's mission is to collect underpants.
animeRelated	['Panpaka Pants Movie: Bananan Oukoku no Hihou', 'Panpaka Pants Matsuri Movie: Purin Ara, Domo', 'Panpaka Pants', 'Panpaka Pants W-O-New!']
animeCharacters	['Panpaka']
animeVoices	[]
animeStaff	[['Benpineko', 'Director']]
