animeTitle	Uchiage Hanabi
animeType	Music
animeNumEpisode	1
releaseDate	2017-08-09 00:00:00
endDate	
animeNumMembers	17433
animeScore	7.56
animeUsers	10497
animeRank	1450
animePopularity	4253
animeDescription	Official music video for Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?'s ending theme Uchiage Hanabi by DAOKO x Kenshi Yonezu.
animeRelated	['Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?', 'Sou: Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?-hen', 'New My Tear CL Series']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
