animeTitle	Working'!! Announcement Specials
animeType	ONA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	5310
animeRank	
animePopularity	4691
animeDescription	"Several characters announce the new season.

Episode 1 - April Fool Announcement (Hana and Daisuke)
Episode 2 - True Announcement (Aoi, Popura, and Souta)"
animeRelated	"[""Working'!!"", 'WWW.Working!!']"
animeCharacters	['Yamada, Aoi', 'Taneshima, Popura', 'Takanashi, Souta', 'Miyakoshi, Hana', 'Higashida, Daisuke']
animeVoices	['Hirohashi, Ryou', 'Asumi, Kana', 'Fukuyama, Jun', 'Tomatsu, Haruka', 'Nakamura, Yuuichi']
animeStaff	[['Takatsu, Karino', 'Original Creator'], ['Sakamoto, Izumi', 'Color Design']]
