animeTitle	Two Car
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.64
animeUsers	6100
animeRank	
animePopularity	3928
animeDescription	"Two Car follows high schoolers Yuri Miyata and Megumi Meguro as they battle six other rival pairs in the sport of motorcycle sidecar racing.

(Source: MAL News)"
animeRelated	['Two Car']
animeCharacters	['Miyata, Yuri', 'Meguro, Megumi', 'Makita, Ai', 'Nagai, Misaki', 'Katakura, Mao', 'Iseki, Hitomi', 'Suzuki, Nagisa', 'Nakajima, Tsugumi', 'Birchall, Tina', 'Tanahashi']
animeVoices	['Koga, Aoi', 'Tanaka, Aimi', 'Tokui, Sora', 'Tomatsu, Haruka', 'Shida, Arisa', 'Takagaki, Ayahi', 'Fukuen, Misato', 'Naganawa, Maria', 'Nakamura, Sakura', 'Miki, Shinichiro']
animeStaff	[['Tamura, Masafumi', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Inoue, Keisuke', 'Episode Director'], ['Takayama, Katsuhiko', 'Script, Series Composition']]
