animeTitle	Cinnamon the Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2007-12-22 00:00:00
endDate	
animeNumMembers	1734
animeScore	6.42
animeUsers	589
animeRank	6548
animePopularity	9822
animeDescription	Mocha, Chiffon, Cappuccino, Espresso, and Milk go with Cinnamoroll in this adventure of a lifetime. Join them in their quest, meeting new friends like Anna (the girl who found Cinnamoroll/Cinnamon) and discovering new places like the Forest of Pastries and Bread and the Coffee Waterfalls.
animeRelated	['Cinnamon no Parade']
animeCharacters	['Cinnamoroll', 'Anna', 'Chiffon', 'Cherry', 'Berry']
animeVoices	['Ootani, Ikue', 'Takimoto, Fujiko', 'Miyata, Kouki']
animeStaff	[['Sugii, Gisaburou', 'Director, Screenplay'], ['Kuzuoka, Hiroshi', 'Storyboard'], ['TVXQ', 'Theme Song Performance'], ['Okada, Mari', 'Screenplay']]
