animeTitle	Yakushiji Ryouko no Kaiki Jikenbo
animeType	TV
animeNumEpisode	13
releaseDate	2008-07-06 00:00:00
endDate	2008-09-28 00:00:00
animeNumMembers	16692
animeScore	7.08
animeUsers	5199
animeRank	3448
animePopularity	4331
animeDescription	"Based on a series of light novels written by Tanaka Yoshiki and illustrated by Kakinouchi Narumi.

The story revolves around Ryouko Yakushiji, a 27-year-old multilingual investigator that graduated from Tokyo University's elite Department of Law, and the bizarre cases she faces while working for the Tokyo Metropolitan Police. Yakushiji not only has to deal with supernatural beings in her line of work, but also her rival Yukiko Muromachi, another equally talented and beautiful police investigator.

(Source: AniDB)"
animeRelated	['Yakushiji Ryouko no Kaiki Jikenbo', 'Yakushiji Ryouko no Kaiki Jikenbo: Hamachou, Voice & Fiction']
animeCharacters	['Yakushiji, Ryoko', 'Izumida, Junichiro', 'Isurugi, Ruriko', 'Yakushiji, Masamoto', 'Azuma, Katsuhiko', 'Uesugi, Mitsutoshi', 'Living Dead', 'Izumida, Mana', 'Maruoka', 'Abe, Mario']
animeVoices	['Nabatame, Hitomi', 'Kiuchi, Hidenobu', 'Shimamoto, Sumi', 'Ono, Atsushi', 'Nojima, Hirofumi', 'Makishima, Kouichi', 'Nishi, Kensuke', 'Hirohashi, Ryou', 'Inaba, Minoru', 'Kawano, Otoya']
animeStaff	[['Iwasaki, Tarou', 'Director, Episode Director, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Ootsuka, Masahiko', 'Episode Director, Storyboard'], ['Mitsunaka, Susumu', 'Episode Director, Assistant Animation Director, Key Animation']]
