animeTitle	b'Noonbory'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Having not only a narrator that enhances the educational aspect of the show, it also stars ""super"" seven heroes based on the five physical senses in addition to the two mental senses (nonsense and common sense). Noonbory (the main character) is considered to have the ability for common sense. The settings include the four seasons that make up the Technicolor world of Toobalooba.\n\nThe cast of villains include Wangury and his band of Bullygury pirates, a lonely girl named Rosygury and an abominable snowman named Coldygury that can throw snowballs from his hat when he is angry at ""somebory"" or ""somegury.""\n\n(Source: Wikipedia)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
