animeTitle	Kirameki Inokori Daisensou
animeType	Music
animeNumEpisode	1
releaseDate	2019-12-25 00:00:00
endDate	
animeNumMembers	437
animeScore	6.78
animeUsers	214
animeRank	4704
animePopularity	13343
animeDescription	Music video for the song Kirameki Inokori Daisensou by doujin music circle Shinra-Bansho. The song is their first fully original non-Touhou song that released in 2018 for their 10th anniversary.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
