animeTitle	Mirai Keisatsu Urashiman
animeType	TV
animeNumEpisode	50
releaseDate	1983-01-09 00:00:00
endDate	1983-12-24 00:00:00
animeNumMembers	
animeScore	6.67
animeUsers	361
animeRank	
animePopularity	9488
animeDescription	"By chance, Ryo has slipped from the 1980s into the future, and is trying to get back. In the interim, he's working for the police force of the future, solving cases by applying his unique and often comical approach.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Claude', 'Sophia', 'Urashima, Ryuu', 'Führer', 'Myaa', 'von Ludovich, Adolf', 'Saberiewa, Mylene ']
animeVoices	['Kamiya, Akira', 'Yokozawa, Keiko', 'Kobayashi, Michitaka', 'Katsuki, Masako', 'Shiozawa, Kaneto', 'Kitahama, Haruko']
animeStaff	[['Ishiyama, Takaaki', 'Episode Director, Storyboard'], ['Kogawa, Yoriyasu', 'Episode Director, Storyboard'], ['Tomita, Sukehiro', 'Script'], ['Terada, Kenji', 'Script']]
