animeTitle	Himitsukessha Taka no Tsume GG
animeType	ONA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14719
animeDescription	"A new season of Eagle Talon, this season focuses on current news stories in a panel-style show and will be distributed online. Eagle Talon still wants to conquer the world but they believe they have to understand the world first.

For example, the first episode talks about Starbucks deciding to remove plastic straws by 2020 which was announced publicly by the company a week before the Eagle Talon episode aired. "
animeRelated	"['Cofun Gal no Coffy: Cofunderella', 'DC Super Heroes vs Taka no Tsume-dan', 'Ryuu ga Gotoku Online x Taka no Tsume', 'Taka no Tsume-dan Yoshida Presents ""Sengoku Taiga"" no Susume', 'Taka no Tsume x Johnson: Tatakae! Jokin Shitennou', 'Taka no Tsume-dan x Uchicomi!', 'Taka no Tsume-dan no Ike! ODAman', 'Inunaki-mura x Taka no Tsume-dan']"
animeCharacters	[]
animeVoices	[]
animeStaff	[]
