animeTitle	b'Kuma no Gakkou: Jackie to Katie'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story follows 12 bear cubs living in a dormitory on the top of a mountain.\n\n(Source: AniDB)'
animeRelated	[b'Ganbare! Lulu Lolo', b'Ganbare! Lulu Lolo 2nd Season', b'Ganbare! Lulu Lolo 3rd Season', b'Kuma no Gakkou: Patissier Jackie to Ohisama no Sweets']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
