animeTitle	b'Huckleberry no Bouken'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	566
animeRank	
animePopularity	
animeDescription	"b""Based on Mark Twain's well known masterpiece about Huckleberry Finn, the bright and merry orphan, this film is full of life, laughter, and will be loved by children around the world. When Huckleberry runs away from his orphanage, he teams up with an escaped slave. Together, they travel the Mississippi on a raft, encountering all kinds of people and adventures. \n\n(Source: AniDB)"""
animeRelated	[b'Huckleberry Finn Monogatari', b'Huckleberry no Bouken (Movie)']
animeCharacters	[b'Sawyer, Tom', b'Finn, Huckleberry', b'Jim']
animeVoices	[b'\nNozawa, Masako\nJapanese\n', b'\nYamada, Yasuo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMitsunobu, Hiroyoshi\n\nEpisode Director\n\n', b'\nHiguchi, Masakazu\n\nEpisode Director\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n']
