animeTitle	Time Travel Tondekeman!
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	692
animeRank	
animePopularity	9571
animeDescription	"The series starts when Hayato, a soccer enthusiast, and his girlfriend Yumi, an aspiring musician, went to a visit to Dr. Leonard's lab. They accidentally activated the Tondekeman, a funny talking kettle who transported them many centuries in the past. 

In Baghdad, Hayato and Yumi gets reunited but they got separated from Tondekeman. They meet Aladdin, Prince Dandarn and Princess Shalala. They also meet the cunning Abdullah who is always ready to kidnap the princess so that he could marry the princess to his master. 

Our heroes get to go to different places and times and meet several historical and literary figures as they follow Abdullah as he escapes through time to abduct the princess. 

Hayato and Yumi are stuck in the past until they get Tondekeman from the possession of Abdullah. 

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	"['Shalala-hime', 'Aladdin', 'Doramusuko', 'Dandan', 'Arama, Yumi', 'Tondekeman', 'Shindou, Hayato', ""Genie's Lamp"", 'Dr. Leonardo', 'Abdullah']"
animeVoices	['Sakuma, Rei', 'Mita, Yuuko', 'Kamiya, Akira', 'Nishihara, Kumiko', 'Chiba, Shigeru', 'Mitsuya, Yuuji', 'Sasaoka, Shigezou', 'Takiguchi, Junpei']
animeStaff	[['Yuyama, Kunihiko', 'Director, Episode Director, Storyboard'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Kato, Takao', 'Episode Director, Storyboard'], ['Ishikawa, Yasuo', 'Episode Director, Storyboard']]
