animeTitle	b'Mutekiou Tri-Zenon'
animeType	b'TV'
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	187
animeRank	
animePopularity	
animeDescription	b'During the Edo Period, 3 mysterious space capsules were sent down to earth. Fear that it might bring chaos to the earth, the humans at that time buried these 3 objects down beneath the ground and entrusted a piece of descriptive map to the Kamui family. Today, these 3 objects were awaken one by one. The first to awaken, Tri-Zenon, one of the Zenon Guardians is now driven by the descendant of the Kamui family, Akira Kamui, his brother Ai Kamui and his friend Kanna. Aliens who descend to earth with a purpose will now have to face Tri-Zenon.'
animeRelated	[]
animeCharacters	[b'Uryuu, Kanna', b'Kamui, Ai', b'Kamui, Akira']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Takashi\n\nDirector, Episode Director, Storyboard\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nHanyuu, Naoyasu\n\nEpisode Director\n\n']
