animeTitle	b'Ai Tenshi Densetsu Wedding Peach'
animeType	b'TV'
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	8304
animeRank	
animePopularity	
animeDescription	b'There are three known worlds\xe2\x80\x94the human world, the angel world, and the devil world. The evil queen Raindevilla yearns to destroy the angel world with help or her many devil minions. The goddess Aphrodite sends an angel to the human world, Limone, to summon three love angels in the form of three school girls, Momoko Hanasaki, Yuri Tanima, and Hinagiku Tamano, who together become Angel Lilly, Angel Daisy, and Wedding Peach. The three girls must fight to overcome the evils of the devils, as well as their own lives, and restore peace to the angel world by gathering all pieces of the Sacred Four Somethings (or Saint Something Four) and defeat the evil queen once and for all.\n\n(Source: ANN)'
animeRelated	[b'Wedding Peach', b'Ai Tenshi Densetsu Wedding Peach DX', b'Ai Tenshi Densetsu Wedding Peach Specials']
animeCharacters	[b'Hanasaki, Momoko', b'Fuuma, Yousuke', b'Tanima, Yuri', b'Ohara, Scarlet', b'Tamano, Hinagiku', b'Celeste', b'Cloud', b'Igneous', b'Potamos', b'Pluie']
animeVoices	[b'\nHikami, Kyouko\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nYukana\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nMiyamura, Yuko\nJapanese\n', b'\nSuzuka, Chiharu\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nYao, Kazuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nWatanabe, Takashi\n\nEpisode Director\n\n', b'\nFujimoto, Yoshitaka\n\nEpisode Director\n\n']
