animeTitle	Star Wars: Visions
animeType	ONA
animeNumEpisode	9
releaseDate	2021-09-22 00:00:00
endDate	
animeNumMembers	50140
animeScore	7.3
animeUsers	23671
animeRank	2423
animePopularity	2489
animeDescription	"Presenting all-new, creative takes on the galaxy far, far away, Star Wars: Visions will be a series of animated short films celebrating Star Wars through the lens of the world's best anime creators. The anthology collection will bring nine fantastic visions from several of the leading Japanese anime studios, offering a fresh and diverse cultural perspective to Star Wars.

(Source: Disney+)"
animeRelated	[]
animeCharacters	['Fett, Boba', 'F', 'Lop', 'Ronin', 'Am', 'Karre', 'Tajin', 'Kara', 'Dan', 'Haru']
animeVoices	['Seto, Asami', 'Kobayashi, Seiran', 'Terasoma, Masaki', 'Shiraishi, Ryouko', 'Enoki, Junya', 'Akasaki, Chinatsu', 'Nakamura, Yuuichi', 'Han, Megumi']
animeStaff	[['Imaishi, Hiroyuki', 'Director'], ['Kamiyama, Kenji', 'Director'], ['Choi, Eun-Young', 'Director'], ['Ootsuka, Masahiko', 'Director']]
