animeTitle	Fate/kaleid liner Prisma☆Illya 2wei! Specials
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	16899
animeRank	
animePopularity	2938
animeDescription	Short specials included with the Blu-ray/DVD releases of the TV series.
animeRelated	['Fate/kaleid liner Prisma☆Illya 2wei!']
animeCharacters	['Toosaka, Rin', 'von Einzbern, Illyasviel', 'von Einzbern, Chloe', 'Edelfelt, Miyu', 'Edelfelt, Luviagelita', 'Fujimura, Taiga', 'Fraga McRemitz, Bazett', 'Leysritt', 'Gakumazawa, Tatsuko', 'Sella']
animeVoices	['Ueda, Kana', 'Kadowaki, Mai', 'Saitou, Chiwa', 'Nazuka, Kaori', 'Itou, Shizuka', 'Itou, Miki', 'Nabatame, Hitomi', 'Miyagawa, Miho', 'Katou, Emiri', 'Nanao, Haruhi']
animeStaff	[['Type-Moon', 'Original Creator'], ['Katou, Tatsuya', 'Music'], ['Hiroyama, Hiroshi', 'Original Creator'], ['Jones, Kyle', 'ADR Director']]
