animeTitle	Boys Be...
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.43
animeUsers	8155
animeRank	
animePopularity	3913
animeDescription	"There are two sides to every love story, and Boys Be... reveals what's really going on—from the guy's point of view!

Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young, but lately, his feelings have begun to change. Lecherous Makoto, a self-proclaimed master of the rules of romance, is ready to sweep the ladies off their feet. And Yoshihiko, a handsome sports nut, is unfortunately a bit clueless in matters of the heart.

Join this hapless trio for a year of romantic misadventures that will change their lives forever!

(Source: RightStuf)"
animeRelated	['Boys Be...']
animeCharacters	['Kanzaki, Kyoichi', 'Nitta, Chiharu', 'Kurumizawa, Makoto', 'Mizutani, Aki', 'Kazama, Yumi', 'Kenjo, Yoshihiko', 'Reicha, Chiharu', 'Kawai, Erika', 'Sayama, Shoko', 'Kurihara, Aya']
animeVoices	['Suzumura, Kenichi', 'Murai, Kazusa', 'Ishida, Akira', 'Shiratori, Yuri', 'Nagasawa, Miki', 'Ishikawa, Hideo', 'Hayashibara, Megumi', 'Neya, Michiko', 'Imai, Yuka', 'Fukuen, Misato']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Shimoda, Masami', 'Director, Storyboard'], ['Tanaka, Hideyuki', 'Sound Director'], ['Nakayama, Katsuichi', 'Episode Director, Storyboard']]
