animeTitle	Shokuzai no Kyoushitsu
animeType	OVA
animeNumEpisode	2
releaseDate	2002-01-11 00:00:00
endDate	2003-04-05 00:00:00
animeNumMembers	2891
animeScore	5.27
animeUsers	853
animeRank	
animePopularity	8477
animeDescription	"Nanase's father has just been arrested for murder. While his guilt remains in question, a perverted gang of Nanase's classmates have already passed judgment, and are punishing her for her father's crimes. To atone for his sins, she must obey their every sexual command to satisfy their twisted desires. At school, in her room, and even on a crowded train. No matter where they are, Nanase must pleasure them in any way possible. But not all of Nanase's classmates can be so easily satiated. Someone's publishing very detailed articles about her nightly lustful escapades in a special Atonement Newspaper! Spread across campus, this public humiliation might just be worse than her nightly tortures!

(Source: Atasteanime)"
animeRelated	['Shokuzai no Kyoushitsu', 'Bad End']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
