animeTitle	b'Moushin Soloist Life!'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.06
animeUsers	480
animeRank	
animePopularity	
animeDescription	b'Official music video for the song Moushin Soloist Life! by the fictional band Irodorimidori. It is the 11th song in the franchise and focuses on Nachi Tsukisuzu.\n'
animeRelated	[b'Dokidoki Dream!!!', b'My Dearest Song']
animeCharacters	[b'Tsukisuzu, Nachi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYarita\n\nDirector\n\n']
