animeTitle	Gokushufudou Part 2
animeType	ONA
animeNumEpisode	5
releaseDate	2021-10-07 00:00:00
endDate	
animeNumMembers	
animeScore	7.48
animeUsers	20284
animeRank	
animePopularity	2201
animeDescription	"Second part of Gokushufudou.
"
animeRelated	['Gokushufudou']
animeCharacters	"['Tatsu', 'Miku', 'Gin', 'Masa', 'Torii, Hibari', 'Bob', 'Torajirou', ""Miku's Father"", 'Otaku', 'Yuzuru']"
animeVoices	['Tsuda, Kenjirou', 'Sugita, Tomokazu', 'Hosoya, Yoshimasa', 'Takumi, Yasuaki']
animeStaff	[['Kon, Chiaki', 'Director'], ['Uchikubi Gokumon Doukoukai', 'Theme Song Performance'], ['Oono, Kousuke', 'Original Creator'], ['Yamakawa, Susumu', 'Series Composition']]
