animeTitle	b'Chocolate Underground'
animeType	b'ONA'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	5117
animeRank	
animePopularity	
animeDescription	b'Chocolate and other sweets have been banned thanks to the political reign of the Good For You Party, and the new laws are enforced strictly, with force if need be. Smudger and Huntley are two teen boys determined to eat chocolate again. They search out rumored chocolate bootleggers, eventually starting their own chocolate underground distribution.'
animeRelated	[b'Chocolate Underground', b'Chocolate Underground: Bokura no Chocolate Sensou']
animeCharacters	[b'Hunter, Huntley', b'Bubby, Louise', b'Moore, Smudger', b'Moore, Kylie', b'Bubby, Grandmother', b'Blades, John', b'Crawley, Joe']
animeVoices	[b'\nToyonaga, Toshiyuki\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nMizusawa, Fumie\nJapanese\n', b'\nNakagawa, Rie\nJapanese\n', b'\nMori, Hiroko\nJapanese\n', b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHamana, Takayuki\n\nDirector\n\n', b'\nHiramitsu, Takuya\n\nSound Director\n\n', b'\nNishino, Kana\n\nTheme Song Performance, Inserted Song Performance\n\n', b'\nGotou, Takayuki\n\nCharacter Design, Chief Animation Director\n\n']
