animeTitle	b'Akachan to Boku'
animeType	b'TV'
animeNumEpisode	35
releaseDate	
endDate	
animeNumMembers	
animeScore	7.84
animeUsers	6962
animeRank	
animePopularity	
animeDescription	b'Takuya Enoki is living a difficult life for a fifth grader. His mother passed away in a tragic car accident a few months ago, forcing him to pick up the slack and take care of his baby brother, Minoru, as his father works the endless hours typical of a Japanese salaryman.\n\nHe will have to sacrifice his childhood in order to meet the needs of his little brother. Cooking, cleaning, worrying, and trying to discipline Minoru are some of the tasks Takuya will have on his plate, all while their neighbors blame him for Minoru\xe2\x80\x99s constant crying. Meanwhile, he will watch as his friends live their carefree lives, enjoying their free time. It will not be easy and there will be plenty of stumbling blocks, but along the way, he may actually learn the true meaning of family.'
animeRelated	[b'Akachan to Boku']
animeCharacters	[b'Enoki, Minoru', b'Enoki, Takuya', b'Enoki, Harumi', b'Fujii, Akihiro', b'Fujii, Ichika', b'Enoki, Yukako', b'Gotou, Hiroko', b'Fukaya, Shinako', b'Tamadate, Tokio', b'Gotou, Tadashi']
animeVoices	[b'\nSakamoto, Chika\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n', b'\nMiyamoto, Mitsuru\nJapanese\n', b'\nYuuki, Hiro\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nWatanabe, Misa\nJapanese\n', b'\nKuroda, Yumi\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nKamei, Yoshiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOomori, Takahiro\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nIshihara, Tatsuya\n\nEpisode Director, Storyboard\n\n', b'\nSadamitsu, Shinya\n\nEpisode Director, Storyboard\n\n']
