animeTitle	Danshi Koukousei no Nichijou Specials
animeType	Special
animeNumEpisode	6
releaseDate	2012-04-03 00:00:00
endDate	2012-09-04 00:00:00
animeNumMembers	
animeScore	7.84
animeUsers	63934
animeRank	
animePopularity	1419
animeDescription	"The original gag comedy manga follows the humorous yet ""realistic"" everyday life of Tadakuni, Hidenori, Yoshitake, and other students at a boys' high school. 

This entry refers to the unaired episodes released on the DVDs and BDs. The pre-air specials were all included in the TV series and are not listed separately on MAL. 

Episode 1: High School Boys and Ideals 
Episode 2: High School Boys and Loneliness 
Episode 3: High School Boys and Zippers 
Episode 4: High School Boys and Tricks 
Episode 5: High School Boys and Hiccups 
Episode 6: High School Boys and Consideration"
animeRelated	['Danshi Koukousei no Nichijou']
animeCharacters	"['Tabata, Hidenori', 'Tanaka, Yoshitake', 'Tadakuni', 'Ringo', 'Motoharu', 'Vice President', 'President', 'Mitsuo', 'Overly Self-conscious Girl', ""Takahiro's Friend""]"
animeVoices	['Sugita, Tomokazu', 'Suzumura, Kenichi', 'Irino, Miyu', 'Yuuki, Aoi', 'Namikawa, Daisuke', 'Yasumoto, Hiroki', 'Ishida, Akira', 'Okamoto, Nobuhiko', 'Ikezawa, Haruna', 'Suwabe, Junichi']
animeStaff	[['Yamauchi, Yasunobu', 'Original Creator'], ['Yumoto, Yoshinori', 'Character Design']]
