animeTitle	Turning Mecard W
animeType	TV
animeNumEpisode	26
releaseDate	2016-05-19 00:00:00
endDate	2016-11-17 00:00:00
animeNumMembers	361
animeScore	
animeUsers	
animeRank	13980
animePopularity	13890
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Turning Mecard', 'Turning Mecard W Season 2', 'Turning Mecard W: Black Mirror-ui Buhwal']
animeCharacters	['Isobel', 'Evan', 'Jason', 'Dana', 'Dyne, Van', 'Tero', 'Phoenix', 'Brandon', 'Juliet', 'Dabby']
animeVoices	[]
animeStaff	[]
