animeTitle	Vlad Love
animeType	ONA
animeNumEpisode	12
releaseDate	2020-12-18 00:00:00
endDate	2021-03-14 00:00:00
animeNumMembers	28357
animeScore	5.94
animeUsers	4615
animeRank	8914
animePopularity	3389
animeDescription	"Mitsugu Banba is a high school girl who finds meaning in donating blood. She frequently visits a blood bank to donate blood, despite being harshly treated by the nurse. One day, she encounters a beautiful girl who looks like she's from overseas at the blood bank. The pale girl looks like she's about to faint any minute, but then, she starts destroying the blood bank. The girl loses consciousness and Mitsugu takes her home... 

(Source: Official Website)"
animeRelated	[]
animeCharacters	"['Banba, Mitsugu', 'Vlad Transylvania, Mai', 'Sumida, Jinko', 'Konno, Kaoru', 'Chimatsuri, Chihiro', 'Watabe, Maki', 'Katsuno, Masumi', 'Unten, Nami', ""Mitsugu's Father"", ""Mai's Father""]"
animeVoices	['Sakura, Ayane', 'Hidaka, Rina', 'Hikasa, Youko', 'Takatsuki, Kanako', 'Park, Romi', 'Hayami, Saori', 'Miyake, Kenta', 'Kobayashi, Yuu', 'Nakata, Jouji', 'Iwasaki, Hiroshi']
animeStaff	[['Oshii, Mamoru', 'Director, Storyboard, Original Creator, Series Composition'], ['Nishimura, Junji', 'Director, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Nishikubo, Mizuho', 'Episode Director']]
