animeTitle	Triangle Blue
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	2520
animeRank	
animePopularity	6315
animeDescription	"""Akane, I love you...""
""......I-I...love you too, Asato......""

Our relationship started after that.
After going out for 4 years and graduating from the university, we decided to live under the same roof.
I found a job at a publishing house. Akane enrolled at a vocational school as a step to realize her dream.

""My drawing with Asato's writing, let's make a book together. That's my dream.""

Akane's smile, my most precious treasure. The thing I don't want to lose the most.
No matter how busy we become we trust each other. We love each other.

I always thought these days would last forever.
So, until that guy came...

(Source: VNDB)"
animeRelated	['True Blue', 'True Blue: Gaiden', 'Innocent Blue', 'Dark Blue', 'White Blue']
animeCharacters	['Himemiya, Akane', 'Ayumi', 'Kamisaka, Kyousuke', 'Sawamura, Asato']
animeVoices	[]
animeStaff	[['Nobidome, Youta', 'Director, Episode Director, Key Animation'], ['Pon', 'Script'], ['Matsui, Shinya', 'Director of Photography']]
