animeTitle	Hungry Heart: Wild Striker
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	11501
animeRank	
animePopularity	3835
animeDescription	"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becoming professional soccer players themselves.

(Source: ANN) "
animeRelated	['Hungry Heart']
animeCharacters	['Kanou, Kyosuke', 'Jefferson, Kouji Sakai', 'Tsujiwaki, Miki', 'Rodrigo', 'Kanou, Seisuke', 'Furuki, Ryosei', 'Kamata, Gouzo', 'Ichikawa, Hiroshi', 'Murakami, Kazuo', 'Kazuto, Mori']
animeVoices	['Toriumi, Kousuke', 'Takatsuka, Masaya', 'Kato, Natsuki', 'Ishizuka, Katashi', 'Koyasu, Takehito', 'Yusa, Kouji', 'Nomura, Kenji', 'Yoshino, Hiroyuki', 'Matsuyama, Takashi', 'Hibino, Akari']
animeStaff	[['Takahashi, Hideo', 'Sound Director'], ['Kaburagi, Hiro', 'Episode Director, Storyboard'], ['Shiraishi, Michita', 'Episode Director'], ['Nigorikawa, Atsushi', 'Episode Director']]
