animeTitle	Shakugan no Shana S
animeType	OVA
animeNumEpisode	4
releaseDate	2009-10-23 00:00:00
endDate	2010-09-29 00:00:00
animeNumMembers	78626
animeScore	7.35
animeUsers	38427
animeRank	2168
animePopularity	1910
animeDescription	"Find out what happens when Yuji accidentally triggers a found Treasure Tool while it's pointed at Shana! Then, Yuji teams up with Wilhelmina to stalk their fiery friend—whose secrecy has become unsettling. Finally, in a two-part special, Shana tracks a Denizen's trail by sorting through a Torch's memories for clues. Her sleuth skills reveal a teenage girl's heartwarming last days and a predator with a serious identity crisis!

(Source: FUNimation)"
animeRelated	['Shakugan no Shana', 'Shakugan no Shana: Reshuffle', 'Shakugan no Shana II (Second)', 'Shakugan no Shana III (Final)', 'Shakugan no Shana-tan S']
animeCharacters	['Shana', 'Sakai, Yuuji', 'Carmel, Wilhelmina', 'Daw, Margery', 'Yoshida, Kazumi', 'Alastor', 'Marchosias', 'Satou, Keisaku', 'Sakai, Chigusa', 'Ogata, Matake']
animeVoices	['Kugimiya, Rie', 'Hino, Satoshi', 'Itou, Shizuka', 'Nabatame, Hitomi', 'Kawasumi, Ayako', 'Ebara, Masashi', 'Iwata, Mitsuo', 'Nojima, Kenji', 'Sakurai, Tomo', 'Kobayashi, Yumiko']
animeStaff	[['Kawase, Kouhei', 'Producer'], ['Watanabe, Takashi', 'Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Shirane, Hideki', 'Script, Screenplay']]
