animeTitle	Uchuu Kaizoku Sara
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	4185
animeRank	
animePopularity	5195
animeDescription	"Sarah is a most terrible pirate knight who dances her way around the galaxy empire that has been ravaged by war. In the galaxy ruled by a number of power-hungry rival warlords, an evil sadistic web is woven around Sarah, who is slowly guided down to her destruction. When the silver knight Sylia comes across the evil aristocrats who have run the gamut of corruption in the galaxy and the slave traders of darkness, the demonic twins, a desperate predicament is visited upon Sarah!!

(Source: dlsite)"
animeRelated	['Uchuu Kaizoku Sara: Shimai Kishi no Eiyuu Choukyou', 'Uchuu Kaizoku Sara Special']
animeCharacters	['Scorpion, Sara', 'von Gielen, Cecil', 'von Gielen, Karin', 'von Bernstein, Sylia', 'Buro, Hans', 'Koushaku, Blankenheim']
animeVoices	['Motoi, Emi', 'Anzu, Hana', 'Ono, Ryouko', 'Isaka, Nana']
animeStaff	[['Sadayama, Yanaha', 'Director, Spotting, Animation Director, Character Design'], ['Yoshida, Tomohiro', 'Sound Director'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Lilith Soft', 'Original Creator']]
