animeTitle	Norasco (Movie)
animeType	Movie
animeNumEpisode	Unknown
releaseDate	2016-09-17 00:00:00
endDate	
animeNumMembers	173
animeScore	
animeUsers	
animeRank	12449
animePopularity	16515
animeDescription	Norasco movies screen for the 9th Down Town Taito International Comedy Film Festival. 6 episodes of Norasco were scheduled to show with 2 of them being new creations never previously shown before. The first episode is the boys playing old maid and the second episode Kotarou's sister Michelle makes an unannounced visit.
animeRelated	['Norasco', 'Norasco (TV)', 'Norasco Specials']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
