animeTitle	Teekyuu 2 Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	5330
animeRank	
animePopularity	5438
animeDescription	Short specials included in the Blu-ray release.
animeRelated	['Teekyuu 2']
animeCharacters	['Bandou, Marimo', 'Oshimoto, Yuri', 'Shinjou, Kanae', 'Takamiya, Nasuno']
animeVoices	['Hanazawa, Kana', 'Watanabe, Yui', 'Mimori, Suzuko', 'Narumi, Kyoko']
animeStaff	[['Itagaki, Shin', 'Director, Character Design'], ['Narumi, Kyoko', 'Theme Song Performance'], ['Yashikin', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['Terada, Tsugeo', 'Original Creator']]
