animeTitle	Ookami Shounen Ken (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14939
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Ookami Shounen Ken']
animeCharacters	['Ken']
animeVoices	[]
animeStaff	[['Tsukioka, Sadao', 'Episode Director'], ['Kobayashi, Asei', 'Music'], ['Serikawa, Yuugo', 'Screenplay']]
