animeTitle	Daishikkin Helena
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	1650
animeRank	
animePopularity	7355
animeDescription	Theodora and Helena are daughters of the royal family of Burgundia, a country known for its courage. Regardless, and unfortunately, the country of Melven invades and succeeds in conquering Burgundia. Theodora and Helena are captured by Melven soldiers who are known to rape female Burgund captives.  When Theodora, who thought only herself at first, hears that her sister had also been captured, she initially wants to commit suicide.  As time goes on however, she decides to devote herself to the men's desires in order to help her sister.
animeRelated	[]
animeCharacters	['Helena', 'Theodora', 'Julianus']
animeVoices	[]
animeStaff	[['Suginami, Daifuku', 'Director, Episode Director, Storyboard, Animation Director, Character Design']]
