animeTitle	Bakuten Shoot Beyblade 2002
animeType	TV
animeNumEpisode	51
releaseDate	2002-01-07 00:00:00
endDate	2002-12-30 00:00:00
animeNumMembers	
animeScore	6.68
animeUsers	36753
animeRank	
animePopularity	2280
animeDescription	"The Bladebreakers have to join forces once again because a mysterious group under the lead of Oozuma has defeated them, but the real enemy is not Oozuma. The real threath is formed by a group of people who use cyber-BitBeasts to capture the original ones from the Bladebreakers.

(Source: ANN)"
animeRelated	['Bakuten Shoot Beyblade', 'Bakuten Shoot Beyblade G Revolution', 'Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi']
animeCharacters	['Hiwatari, Kai', 'Kon, Rei', 'Kinomiya, Takao', 'Mizuhara, Max', 'Tachibana, Hiromi', 'Ozuma', 'Mariam', 'Kyouju', 'Zagart, Zeo', 'Daitenji, Kogorou']
animeVoices	['Takano, Urara', 'Hisakawa, Aya', 'Kumai, Motoko', 'Orikasa, Ai', 'Kikuchi, Shiho', 'Kaida, Yuki', 'Komatsu, Yuka', 'Kuwashima, Houko', 'Yanai, Hisayo', 'Ooki, Tamio']
animeStaff	[['Takeuchi, Yoshio', 'Director, Series Composition'], ['Hayase, Hiroyuki', 'Sound Director'], ['Sekita, Osamu', 'Script'], ['Yatabe, Katsuyoshi', 'Storyboard']]
