animeTitle	Kinbaku no Yakata: Ryakudatsu
animeType	OVA
animeNumEpisode	2
releaseDate	2000-02-18 00:00:00
endDate	2000-05-18 00:00:00
animeNumMembers	
animeScore	5.38
animeUsers	770
animeRank	
animePopularity	9127
animeDescription	" Yukio Mimura and Reika Uehara live in there family's mansion peacefully. They have feelings for each other and are sure that they will live happy together. One night, Hayato Mimura, their cousin, arrives saying he wants them out of the house. Yukio doesn't agree with this and begins to think of any way they could settle this. Hayate comes up with a contest that their fathers did to win the house before them. That contest is to see who can be the first one to break Reika. Whoever breaks her, will be the winner and keeper of the house.

(Source: ANN)"
animeRelated	['Ryakudatsu: Kinbaku no Yakata Kanketsu-hen']
animeCharacters	['Uehara, Reika']
animeVoices	[]
animeStaff	[['Omata, Shinichi', 'Producer'], ['Nagahama, Norihiko', 'Director'], ['Raika, Ken', 'Animation Director']]
