animeTitle	Kiba
animeType	TV
animeNumEpisode	51
releaseDate	2006-04-02 00:00:00
endDate	2007-03-25 00:00:00
animeNumMembers	
animeScore	7.3
animeUsers	28762
animeRank	
animePopularity	2007
animeDescription	"In a dystopian future, two friends dream of freedom... and gain more than they bargain for! Hothead Zed is on the run from the authorities, while his brainy pal Noah struggles with his own battered body. Both find a magical world that seems to offer escape and power undreamed of. Join Zed and his powerful, rebellious spirit Amir Gaul on their search for the ultimate power. It's a force that can save the world—or destroy life as we know it. This is the world of KIBA! Where you must harness the power within and fight with all you got!

(Source: RightStuf)"
animeRelated	[]
animeCharacters	['Zed', 'Roya', 'Noa', 'Gaoul, Amil', 'Hugh', 'Kira', 'Sagiri', 'Rebecca', 'Zico, Jiko', 'Mikki']
animeVoices	['Yoshino, Hiroyuki', 'Mizuki, Nana', 'Horie, Kazuma', 'Yamaguchi, Kappei', 'Matsushita, Komina', 'Endou, Aya', 'Inoue, Marina', 'Arikawa, Hiroshi', 'Nakamoto, Nobuhisa']
animeStaff	[['Kamagata, Eiichi', 'Producer'], ['Yamakawa, Norio', 'Producer'], ['Koujina, Hiroshi', 'Director'], ['Tachikawa, Yuzuru', 'Episode Director, Setting Manager']]
