animeTitle	Future GPX Cyber Formula Saga
animeType	OVA
animeNumEpisode	8
releaseDate	1996-08-01 00:00:00
endDate	1997-07-25 00:00:00
animeNumMembers	2142
animeScore	7.34
animeUsers	830
animeRank	2212
animePopularity	9247
animeDescription	"After his disappointing loss in the last round of the 14th Cyber Formula World Grand Prix, which causes him the championship, Hayato Kazami decides that he needs a change and switches over to the Sugo Garland SF-03 for the 15th Cyber Formula World Grand Prix while he waits for the newest Asurada design. However, his hope to make up for the past year's letdown is made difficult when Aoi ZIP Formula undergoes a major restructuring and brings in Kyoshiro Nagumo as the new president of the team. The new car that he brought to the team, driven by newcomer Phil Fritz, is seemingly unbeatable...

(Source: ANN)"
animeRelated	['Future GPX Cyber Formula Zero', 'Future GPX Cyber Formula Sin']
animeCharacters	['Kazami, Hayato', 'Sugo, Asuka', 'Asurada', 'Nagumo, Kyoshiro', 'Kaga, Joutarou', 'Sugo, Osamu', 'Bootsvorz, Edelhi', 'Jounouchi, Miki', 'Randoll, Karl Lichter von', 'Shinjyo, Naoki']
animeVoices	['Kanemaru, Junichi', 'Mitsuishi, Kotono', 'Ono, Kenichi', 'Ikeda, Shuuichi', 'Seki, Toshihiko', 'Hayami, Show', 'Tatsuta, Naoki', 'Adachi, Shinobu', 'Matsuoka, Youko', 'Midorikawa, Hikaru']
animeStaff	[['Kawamori, Shouji', 'Mechanical Design'], ['Yatate, Hajime', 'Original Creator'], ['Sahashi, Toshihiko', 'Music'], ['Fukuda, Mitsuo', 'Original Creator']]
