animeTitle	One Punch Man Specials
animeType	Special
animeNumEpisode	6
releaseDate	2015-12-24 00:00:00
endDate	2016-05-27 00:00:00
animeNumMembers	
animeScore	7.7
animeUsers	143875
animeRank	
animePopularity	684
animeDescription	Specials included in the Blu-ray and DVD releases of One Punch Man.
animeRelated	['One Punch Man']
animeCharacters	"['Saitama', 'Genos', 'Tatsumaki', 'Fubuki', ""Speed-o'-Sound Sonic"", 'King', 'Metal Bat', 'Puripuri Prisoner', 'Bang', 'Zombieman']"
animeVoices	['Furukawa, Makoto', 'Ishikawa, Kaito', 'Yuuki, Aoi', 'Hayami, Saori', 'Kaji, Yuki', 'Yasumoto, Hiroki', 'Hatano, Wataru', 'Onosaka, Masaya', 'Yamaji, Kazuhiro', 'Sakurai, Takahiro']
animeStaff	[['Hisagi, Akitsugu', 'Storyboard, Key Animation'], ['Kaji, Yuki', 'Theme Song Performance'], ['Hayami, Saori', 'Theme Song Performance'], ['Nakamura, Yuuichi', 'Theme Song Performance']]
