animeTitle	Yuri Seijin Naoko-san
animeType	OVA
animeNumEpisode	1
releaseDate	2010-12-18 00:00:00
endDate	
animeNumMembers	15197
animeScore	5.81
animeUsers	7441
animeRank	9332
animePopularity	4489
animeDescription	Naoko-san is an alien from the planet Yuri, who is plotting to conquer the Earth by yurifying it. Misuzu is a junior high girl and is always troubled by Naoko-san, who lives on the roof of her house. They hear rumors that a molester is wandering around in the area, so they decide to investigate.
animeRelated	['Yuri Seijin Naoko-san', 'Yuri Seijin Naoko-san (2012)']
animeCharacters	['Naoko-san', 'Misuzu', 'Ryouta', 'Hii-chan']
animeVoices	['Arai, Satomi', 'Harashima, Akari', 'Kokubun, Yukari', 'Nonaka, Ai']
animeStaff	[['Takeuchi, Tetsuya', 'Director, Script, Storyboard, Screenplay, Key Animation, Animation Director, Character Design'], ['Iwanami, Yoshikazu', 'Sound Director'], ['MOSAIC.WAV', 'Music'], ['Chiba, Emi', 'Color Design, Color Setting']]
