animeTitle	Wu Shang Shen Di
animeType	ONA
animeNumEpisode	64
releaseDate	2020-05-18 00:00:00
endDate	2020-12-18 00:00:00
animeNumMembers	1718
animeScore	7.29
animeUsers	651
animeRank	2450
animePopularity	9874
animeDescription	"Ten thousand years ago, the immortal king Muyun was conspired by others for holding the Zhu Xiantu. After ten thousand years of sleep, his remnant soul awakened on the famous ""Trash Muyun"" of the Southern Cloud Empire of the Heavenly Fate continent.

(Source: LM ANIME)"
animeRelated	['Wu Shang Shen Di 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
