animeTitle	Enshou Nihon Mukashibanashi
animeType	OVA
animeNumEpisode	1
releaseDate	1988-05-25 00:00:00
endDate	
animeNumMembers	758
animeScore	5.01
animeUsers	244
animeRank	
animePopularity	11855
animeDescription	"Of the same kind of late 80s shows about old Japanese (sexy) tales. It is made of three short stories, introduced by a narrator. And there is a ""live"" action sequence at the beginning, that the narrator seems to look at before starting the tales. Released in 1988 by Alice Japan (Japan Home Video).

(Source: AniDB)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
