animeTitle	b'Chuunibyou demo Koi ga Shitai! Ren'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.56
animeUsers	369445
animeRank	
animePopularity	
animeDescription	"b""The awkward lovebirds, Yuuta Togashi and Rikka Takanashi are now living together as they enter a new school year, but their adorable relationship remains stagnant. Yuuta struggles to adapt to having a chuuni girlfriend while the gang\xe2\x80\x94Sanae Dekomori, Shinka Nibutani and Kumin Tsuyuri\xe2\x80\x94are still keeping up with their quirks despite having advanced a grade. Making matters worse, another chuuni girl from Yuuta's middle school, Satone Shichimiya, appears...\n\nWith the various events revolving around Yuuta, will he be able to develop his relationship with Rikka?\n\n[Written by MAL Rewrite]\n"""
animeRelated	[b'Chuunibyou demo Koi ga Shitai!', b'Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel', b'Chuunibyou demo Koi ga Shitai! Ren Lite', b'Chuunibyou demo Koi ga Shitai! Ren Specials', b'Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars', b'Chuunibyou demo Koi ga Shitai! Movie: Take On Me']
animeCharacters	[b'Takanashi, Rikka', b'Dekomori, Sanae', b'Togashi, Yuuta', b'Nibutani, Shinka', b'Tsuyuri, Kumin', b'Shichimiya, Satone', b'Takanashi, Touka', b'Isshiki, Makoto', b'Togashi, Kuzuha', b'Togashi, Yumeha']
animeVoices	[b'\nUchida, Maaya\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n', b'\nNagatsuma, Juri\nJapanese\n', b'\nSendai, Eri\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nFukuhara, Kaori\nJapanese\n', b'\nShitara, Mami\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakamura, Shinichi\n\nProducer\n\n', b'\nIshihara, Tatsuya\n\nDirector\n\n', b'\nYamada, Naoko\n\nEpisode Director, Storyboard\n\n', b'\nFujita, Haruka\n\nEpisode Director, Storyboard, Assistant Director, Key Animation\n\n']
