animeTitle	Dr. Slump Movie 11: Dr. Mashirito & Abale-chan
animeType	Movie
animeNumEpisode	1
releaseDate	2007-03-03 00:00:00
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	412
animeRank	
animePopularity	10631
animeDescription	The story centers around an evil counterpart of Arale created by Dr. Mashirito named Abale.
animeRelated	['Dr. Slump: Arale-chan']
animeCharacters	"['Abale', 'Dr. Mashirito Jr.', 'Norimaki, Arale', 'Norimaki, Gajira', 'Soramame, Tarou', 'Daiou, Nikochan', ""Nikochan's Servant"", 'Pagos']"
animeVoices	['Koyama, Mami', 'Nozawa, Nachi', 'Nishihara, Kumiko', 'Furukawa, Toshio', 'Ootake, Hiroshi', 'Chiba, Shigeru', 'Satou, Masaharu']
animeStaff	[['Nagamine, Tatsuya', 'Director'], ['Toriyama, Akira', 'Original Creator'], ['Umezawa, Atsutoshi', 'Planning']]
