animeTitle	Future GPX Cyber Formula 11
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	947
animeRank	
animePopularity	9195
animeDescription	"It is now time for the 11th Cyber Formula World Grand Prix. With all the expectations and pressures placed upon him, Hayato Kazami struggles to regain the championship form that he had a year ago. Moreover, Osamu Sugo, aka Knight Schumacher, has reentered the competition, and declared Hayato to be an enemy. Hayato, with the new Super Asurada AKF-11, must now defeat someone he once deeply trusted in order to secure his second championship.

(Source: ANN)"
animeRelated	['Future GPX Cyber Formula', 'Future GPX Cyber Formula Zero']
animeCharacters	['Kazami, Hayato', 'Sugo, Asuka', 'Asurada', 'Sugo, Osamu', 'Kaga, Joutarou', 'Bootsvorz, Edelhi', 'Randoll, Karl Lichter von', 'Jounouchi, Miki', 'Shinjyo, Naoki', 'Aoi, Kyouko']
animeVoices	['Kanemaru, Junichi', 'Mitsuishi, Kotono', 'Ono, Kenichi', 'Hayami, Show', 'Seki, Toshihiko', 'Tatsuta, Naoki', 'Matsuoka, Youko', 'Adachi, Shinobu', 'Midorikawa, Hikaru']
animeStaff	[['Fukuda, Mitsuo', 'Director, Script, Original Creator'], ['Nakazaki, Hideya', 'Theme Song Composition'], ['Kawamori, Shouji', 'Mechanical Design'], ['Otani, Kow', 'Music']]
