animeTitle	Kämpfer Picture Drama
animeType	Special
animeNumEpisode	1
releaseDate	2009-12-23 00:00:00
endDate	
animeNumMembers	13785
animeScore	5.43
animeUsers	6748
animeRank	10602
animePopularity	4663
animeDescription	A very special episode included with the Blu-ray release. The Entrails Animals and Akane discuss philosophical topics such as existence, purpose, and low-quality merchandise.
animeRelated	['Kämpfer']
animeCharacters	['Mishima, Akane', 'Kuro Usagi, Seppuku', 'Yamaneko, Kanden', 'Norainu, Chissoku']
animeVoices	['Horie, Yui', 'Tamura, Yukari', 'Mizuki, Nana', 'Noto, Mamiko']
animeStaff	[['Tsukiji, Toshihiko', 'Original Creator'], ['Senmu', 'Original Character Design']]
