animeTitle	Mari Iyagi
animeType	Movie
animeNumEpisode	1
releaseDate	2002-01-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	1033
animeRank	
animePopularity	8192
animeDescription	"When office worker Nam-woo receives a package from childhood friend Jun-ho it transports him back to their last summer together. Back to their hometown in a small fishing village it the last few days before Jun-ho left for boarding school in Seoul. When a marble and an abandoned lighthouse had the power to transport him to a fantastic world where a mysterious flying girl named Mari lived.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Jun-ho', 'Namoo']
animeVoices	[]
animeStaff	[['Lee, Sung-gang', 'Director']]
