animeTitle	Sei Michaela Gakuen Hyouryuuki II
animeType	OVA
animeNumEpisode	2
releaseDate	1994-10-21 00:00:00
endDate	1995-11-25 00:00:00
animeNumMembers	
animeScore	4.72
animeUsers	319
animeRank	
animePopularity	11031
animeDescription	1212 AD. During the crusades, an innocent soldier finds himself betrayed, and leaps to his death, vowing to return as a fallen angel. Present day. Reborn as a woman named Aiko, the soldier rises as the military leader of a new crusade, successfully unites the world and abolishes all religion. Haunted by memories of a past life, Aiko travels backwards in time, and finds herself caught in an incredible battle to save the future. 
animeRelated	['Sei Michaela Gakuen Hyouryuuki']
animeCharacters	['Kozue', 'Miuchi, Youko', 'Kumi', 'Gonza', 'Sister Yumiko', 'Daisuke', 'Ikeda, Rika', 'Aria', 'Yoshimura, Aihansu', 'Aiko']
animeVoices	[]
animeStaff	[['Matsuura, Noriyoshi', 'Sound Director'], ['Miyamae, Mitsuharu', 'Art Director'], ['Taniguchi, Moriyasu', 'Character Design, Animation Director'], ['Masuda, Hirofumi', 'Key Animation']]
