animeTitle	Seiken Gakuin no Makentsukai
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	19100
animeDescription	"Battles for ancient kingdoms are nothing compared to the battles of a classroom!

Awakening from magical stasis after a thousand years, the Dark Lord Leonis suddenly finds himself in the body of a ten-year-old boy! He quickly meets Riselia, a girl confronting the Voids, creatures that have nearly exterminated humanity. Determined to uncover the mysteries of this strange new era, Leonis enrolls in Excalibur Academy, a school that trains students to fight back against these enigmatic monsters. Could the Voids hold some connection to Leonis's past? 

(Source: Yen Press)"
animeRelated	['Seiken Gakuin no Makentsukai']
animeCharacters	['Ray Crystalia, Riselia', 'Magnus, Leonis Death']
animeVoices	[]
animeStaff	[['Shimizu, Yuu', 'Original Creator'], ['Toosaka, Asagi', 'Original Character Design']]
