animeTitle	Pico to Chico
animeType	OVA
animeNumEpisode	1
releaseDate	2007-04-19 00:00:00
endDate	
animeNumMembers	65145
animeScore	4.38
animeUsers	41813
animeRank	
animePopularity	2157
animeDescription	"The crisp rays of summer sun find the effeminate Pico embroiled in yet another heated and lustful fling. While out biking, Pico meets and befriends Chico—a lively boy not much younger than him, but leagues behind in the affairs of the flesh. After the innocent Chico shows his sister in the midst of self-pleasure to Pico, Pico takes it upon himself to educate this confused youth.

[Written by MAL Rewrite]"
animeRelated	['Boku no Pico', 'Pico x CoCo x Chico']
animeCharacters	['Pico', 'Chico', 'Manko']
animeVoices	['Sakou, Mariko']
animeStaff	[['Yatabe, Katsuyoshi', 'Director'], ['Takayama, Katsuhiko', 'Script'], ['Pico', 'Theme Song Performance'], ['Yoshiten', 'Character Design, Animation Director']]
