animeTitle	b'Flip Flappers'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	61439
animeRank	
animePopularity	
animeDescription	b'Cocona is an average middle schooler living with her grandmother. And she who has yet to decide a goal to strive for, soon met a strange girl named Papika who invites her to an organization called Flip Flap.\n\nDragged along by the energetic stranger, Cocona finds herself in the world of Pure Illusion\xe2\x80\x94a bizarre alternate dimension\xe2\x80\x94helping Papika look for crystal shards. Upon completing their mission, Papika and Cocona are sent to yet another world in Pure Illusion. As a dangerous creature besets them, the girls use their crystals to transform into magical girls: Cocona into Pure Blade, and Papika into Pure Barrier. But as they try to defeat the creature before them, three others with powers from a rival organization enter the fray and slay the creature, taking with them a fragment left behind from its body. Afterward, the girls realize that to stand a chance against their rivals and the creatures in Pure Illusion, they must learn to work together and synchronize their feelings in order to transform more effectively.\n\n[Written by MAL Rewrite]'
animeRelated	[]
animeCharacters	[b'Papika', b'Cocomine, Cocona', b'Yayaka', b'Uexk\xc3\xbcll', b'Yuyu', b'Hidaka', b'TT-392', b'Sayuri', b'Mimi', b'Welwitschia']
animeVoices	[b'\nIchimichi, Mao\nJapanese\n', b'\nTakahashi, Minami\nJapanese\n', b'\nOhashi, Ayaka\nJapanese\n', b'\nMurase, Michiyo\nJapanese\n', b'\nToshinou, Airi\nJapanese\n', b'\nFukushima, Jun\nJapanese\n', b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nKayano, Ai\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOshiyama, Kiyotaka\n\nDirector, Episode Director, Script, Storyboard, Key Animation\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nKameda, Yoshimichi\n\nEpisode Director, Animation Director, 2nd Key Animation, Key Animation\n\n', b'\nIkehata, Hiroshi\n\nEpisode Director\n\n']
