animeTitle	b'Okojo to Yamane'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The franchise centers on two friends: a naive weasel who likes cute and round things, and a dormouse who plays innocent. Together, they spend their days playing and having fun in short stories set in Nagano Prefecture. \n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Yamane', b'Okojo']
animeVoices	[b'\nFurihata, Ai\nJapanese\n', b'\nNitta, Emi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakamura, Suzuna\n\nScript, Background Art, Original Character Design\n\n']
