animeTitle	b'Makasete Iruka!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	803
animeRank	
animePopularity	
animeDescription	"b""Meet Umi, Sora and Ao, the three hardest working school girls in all of Japan. As the proprietors of the best odd-jobs service around, they'll take on any task and guarantee the result! Unfortunately, spending your whole day doing other people's homework and cleaning sewers doesn't leave much time to go to school yourself, so when the girls take on the task of convincing someone else to go back to school, it may prove to be their hardest job ever! Have these junior Jills of all trades finally met their match? Find out in Grrl Power!\n\n(Source: AniDB)"""
animeRelated	[b'Makasete Iruka!']
animeCharacters	[b'Ao', b'Sora', b'Umi', b'Riku']
animeVoices	[b'\nNazuka, Kaori\nJapanese\n', b'\nSaitou, Ayaka\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDaichi, Akitarou\n\nDirector, Storyboard, Planning, Original Creator\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nOotsuka, Masahiko\n\nEpisode Director\n\n', b'\nIkeda, Mamiko\n\nScript\n\n']
